2022-09-19 16:32:21.037 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 16:37:21.435 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 16:37:21.438 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 16:37:21.447 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 16:42:21.921 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 16:42:21.936 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 16:42:21.967 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 16:47:22.276 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 16:47:22.282 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 16:47:22.324 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 16:52:22.689 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 16:52:22.709 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 16:52:22.761 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 16:57:23.088 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 16:57:23.104 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 16:57:23.111 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:00:03.617 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:306 - Response. Begin updating these tables :
	 {}
2022-09-19 17:00:03.621 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:358 - All tables have been updated
2022-09-19 17:02:23.581 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:02:23.585 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:02:23.593 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:07:23.895 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:07:23.923 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:07:23.948 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:12:24.440 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:12:24.444 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:12:24.470 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
